phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_000.npy,FBP,5,0.0,0.0458852304601948,0.4196741877193739,0.7708493510939168
phantom_000.npy,SIRT,5,0.0,0.023957044659554994,0.6121277564944227,0.961180657551309
phantom_000.npy,FBP,10,0.0,0.045885239278403905,0.4196741035450537,0.7708472568612429
phantom_000.npy,SIRT,10,0.0,0.023957047143770418,0.6121277136914236,0.9611808650678569
phantom_000.npy,FBP,20,0.0,0.030165234812847008,0.46719824911823704,0.8700278083234647
phantom_000.npy,SIRT,20,0.0,0.018350790041047917,0.7209277163374346,0.9793065702243197
phantom_000.npy,FBP,30,0.0,0.023402004552232465,0.5122589585612499,0.9081375709912904
phantom_000.npy,SIRT,30,0.0,0.014976343267523343,0.8016537450657483,0.9899936634624459
phantom_000.npy,FBP,60,0.0,0.014636936878023529,0.6479978308118045,0.9620788675429727
phantom_000.npy,SIRT,60,0.0,0.010690647245325202,0.9084941551104035,0.9974474885906385
phantom_000.npy,FBP,90,0.0,0.01114647926249204,0.7340640956036912,0.9827371741539996
phantom_000.npy,SIRT,90,0.0,0.008807156352731643,0.9387015773214902,0.9987772619304686
phantom_000.npy,FBP,120,0.0,0.009064764680305313,0.7902771495012495,0.992526700013519
phantom_000.npy,SIRT,120,0.0,0.00785385071147418,0.9538401935563714,0.9990648644053388
phantom_000.npy,FBP,180,0.0,0.007049866394631175,0.8531934169312922,0.9968887031936428
phantom_000.npy,SIRT,180,0.0,0.006953603706618839,0.9673755796618514,0.9990863438774918
phantom_002.npy,FBP,5,0.0,0.04942900502890801,0.35910848068061374,0.7803644633594357
phantom_002.npy,SIRT,5,0.0,0.026934444445361336,0.5654336636293833,0.9563336670674053
phantom_002.npy,FBP,10,0.0,0.04942900012945755,0.35910851575708913,0.7803636759889496
phantom_002.npy,SIRT,10,0.0,0.026934446250363786,0.5654336033204475,0.9563327428565354
phantom_002.npy,FBP,20,0.0,0.03246530596071131,0.408223306498394,0.8883961595588735
phantom_002.npy,SIRT,20,0.0,0.019229008471099707,0.6868902314332102,0.9852114472723433
phantom_002.npy,FBP,30,0.0,0.025530221749184945,0.4592958040630309,0.9222841539146648
phantom_002.npy,SIRT,30,0.0,0.0162380619851419,0.7714378859714193,0.9918382365893615
phantom_002.npy,FBP,60,0.0,0.016112828959339843,0.598402939613919,0.968365935877562
phantom_002.npy,SIRT,60,0.0,0.011555126501918443,0.8891086787694793,0.9978181803918647
phantom_002.npy,FBP,90,0.0,0.01234408595079268,0.69233161524258,0.9867579949085095
phantom_002.npy,SIRT,90,0.0,0.009605955898103489,0.9242412951589932,0.9990738208857801
phantom_002.npy,FBP,120,0.0,0.010207094851091452,0.7530659733322647,0.9944576654229235
phantom_002.npy,SIRT,120,0.0,0.008560190728416735,0.9421957610293299,0.9993599551478524
phantom_002.npy,FBP,180,0.0,0.00813559843281741,0.8186481616002493,0.9984166597996398
phantom_002.npy,SIRT,180,0.0,0.007567540597995525,0.9585389501901775,0.9995432787489366
phantom_003.npy,FBP,5,0.0,0.05433532292327032,0.4258282565984028,0.7691709353628615
phantom_003.npy,SIRT,5,0.0,0.028057854331243293,0.6239998380535816,0.958418639680613
phantom_003.npy,FBP,10,0.0,0.0543353150531596,0.4258282801374151,0.7691726145475543
phantom_003.npy,SIRT,10,0.0,0.028057855373019757,0.6239998300762415,0.958418639680613
phantom_003.npy,FBP,20,0.0,0.03522888644104636,0.4753790954615489,0.8871957857051147
phantom_003.npy,SIRT,20,0.0,0.020680421211528653,0.7176341317599124,0.9800544397770351
phantom_003.npy,FBP,30,0.0,0.027613604642807554,0.5201897129811819,0.9217507887174727
phantom_003.npy,SIRT,30,0.0,0.016952800878731272,0.7931394311100968,0.9896114731757966
phantom_003.npy,FBP,60,0.0,0.017730686052704572,0.6418822639490208,0.9632337659176485
phantom_003.npy,SIRT,60,0.0,0.012319383993376683,0.8930217896386878,0.9973566265306864
phantom_003.npy,FBP,90,0.0,0.013706583275922744,0.7197652194879558,0.9806898381137052
phantom_003.npy,SIRT,90,0.0,0.010236407272064254,0.9242895607308207,0.9989840253807579
phantom_003.npy,FBP,120,0.0,0.011253972634924878,0.7721265387773588,0.9905161717649473
phantom_003.npy,SIRT,120,0.0,0.00908517403088015,0.9414061355830015,0.9995271779597915
phantom_003.npy,FBP,180,0.0,0.009027822243990265,0.8273456158583161,0.9967403702074683
phantom_003.npy,SIRT,180,0.0,0.008056961609973134,0.956512330683844,0.9996872574150708
phantom_004.npy,FBP,5,0.0,0.03937392829418843,0.45875458082255527,0.8334626289674726
phantom_004.npy,SIRT,5,0.0,0.020982958638819934,0.6523430397553582,0.9699162485839132
phantom_004.npy,FBP,10,0.0,0.03937393366771843,0.45875459061990187,0.8334609879085849
phantom_004.npy,SIRT,10,0.0,0.020982959635486086,0.6523430238804474,0.9699162485839132
phantom_004.npy,FBP,20,0.0,0.0255956573901193,0.5090019452190698,0.9215033644899706
phantom_004.npy,SIRT,20,0.0,0.014963923571315511,0.755251059073936,0.9913302347690061
phantom_004.npy,FBP,30,0.0,0.020299227730663234,0.5541484116831051,0.9517616951581533
phantom_004.npy,SIRT,30,0.0,0.012277950227396948,0.8318906326995958,0.9956682824986695
phantom_004.npy,FBP,60,0.0,0.012949811467874689,0.6789477025583417,0.9849611811648744
phantom_004.npy,SIRT,60,0.0,0.009049105200776869,0.9207054989145659,0.999195473223474
phantom_004.npy,FBP,90,0.0,0.010067857101847743,0.7569038796206624,0.994978645584744
phantom_004.npy,SIRT,90,0.0,0.007532081638908764,0.9456059520504633,0.9997269339004865
phantom_004.npy,FBP,120,0.0,0.008410704590345127,0.8064596666934798,0.998215231535581
